    CK11J020  2013 12 25.2310  3.443643  1.000386   85.2735  163.9403  122.7955  20130309   6.0  4.0  C/2011 J2 (LINEAR)                                       MPEC 2013-E06
    PK11J15B  2012 01 20.6936  5.018216  0.317613  110.8572  153.7385   19.1471  20130309   9.0  4.0  P/2011 JB15 (Spacewatch-Boattini)                        MPC 82317
    CK11K36P  2016 05 27.7046  4.881274  0.872921  180.6175  173.4599   18.9811  20130309   4.5  4.0  C/2011 KP36 (Spacewatch)                                 MPC 80257
    CK11L040  2013 03 10.1696  0.301542  1.000032  333.6518   65.6658   84.2072  20130309   5.5  4.0  C/2011 L4 (PANSTARRS)                                    MPEC 2013-E06
    PK11N010  2012 05 30.3959  2.856331  0.545970  330.8514   77.6732   35.6905  20130309  11.5  4.0  P/2011 N1 (ASH)                                          MPC 82718
    CK11O010  2012 08 18.4434  3.890651  0.996355  232.3793   89.8185   76.4997  20130309   7.0  4.0  C/2011 O1 (LINEAR)                                       MPC 82718
    PK11P010  2010 07 18.1162  5.018760  0.330449  347.9085    5.0317    5.6565  20130309   9.0  4.0  P/2011 P1 (McNaught)                                     MPC 78186
    CK11Q020  2012 01 19.8151  1.350764  1.000468   34.7839  287.2444   36.9738  20130309  10.0  4.0  C/2011 Q2 (McNaught)                                     MPC 79342
    CK11R010  2012 10 19.6172  2.079529  1.000769  308.8588  221.4091  116.1951  20130309   6.5  4.0  C/2011 R1 (McNaught)                                     MPEC 2013-E06
    PK11R030  2012 03 31.5099  3.556392  0.264520  224.9359  190.4596   19.2194  20130309  11.0  4.0  P/2011 R3 (Novichonok-Gerke)                             MPC 82718
    PK11S010  2014 08 22.8815  6.894968  0.203147  193.2943  218.8971    2.6793  20130309   8.0  4.0  P/2011 S1 (Gibbs)                                        MPC 82718
    PK11U010  2012 06 20.7706  2.356350  0.417789  353.1830  135.0031   15.2423  20130309  14.5  4.0  P/2011 U1 (PANSTARRS)                                    MPC 78186
    PK11U020  2012 04 14.9859  4.834293  0.095214  155.8147  266.5188    9.7717  20130309  10.0  4.0  P/2011 U2 (Bressi)                                       MPC 82318
    CK11UU5F  2012 07 22.1682  2.138274  1.000628  121.9978  297.4362   93.9699  20130309   9.0  4.0  C/2011 UF305 (LINEAR)                                    MPEC 2013-E06
    PK11W010  2012 01 22.6813  3.312595  0.287800  282.5240  161.8716    3.7189  20130309  11.5  4.0  P/2011 W1 (PANSTARRS)                                    MPC 82718
    CK11Y030  2011 08 22.8133  3.498656  0.704223  340.6792   84.8039   26.5196  20130309   8.0  4.0  C/2011 Y3 (Boattini)                                     MPC 79342
    CK12A010  2013 11 29.9266  7.603906  1.001527  191.7800  277.9717  120.9019  20130309   6.0  4.0  C/2012 A1 (PANSTARRS)                                    MPC 82718
    CK12A020  2012 11  5.1386  3.537540  0.996450  101.6831  191.4100  125.8663  20130309   8.5  4.0  C/2012 A2 (LINEAR)                                       MPEC 2013-E06
    PK12B010  2013 07 23.1140  3.825230  0.410552  162.1774   36.1950    7.6277  20130309   9.0  4.0  P/2012 B1 (PANSTARRS)                                    MPEC 2013-E06
    CK12B030  2011 12  6.7552  3.536807  1.000571   50.7312  253.0011  106.9330  20130309  10.0  4.0  C/2012 B3 (La Sagra)                                     MPC 82719
