0162P         2010 03  8.4253  1.233099  0.596042  356.3104   31.2394   27.8167  20100723  12.0  4.0  162P/Siding Spring                                       MPC 59599
0164P         2011 06  2.4404  1.674612  0.541404  325.8843   88.3562   16.2627  20100723  11.0  4.0  164P/Christensen                                         MPC 62880
0166P         2002 05 17.9156  8.548653  0.382710  321.6713   64.4082   15.3653  20100723   5.5  4.0  166P/NEAT                                                MPC 54366
0167P         2001 05 18.9100 11.828874  0.273155  344.8318  295.7899   19.0919  20100723   9.5  2.0  167P/CINEOS                                              MPC 54367
0169P         2009 11 30.3123  0.607735  0.766818  217.9709  176.1808   11.3016  20100723  16.0  2.0  169P/NEAT                                                MPC 56805
0172P         2008 10 15.9981  2.241741  0.364671  180.2298   39.4379   11.5871  20100723  13.0  4.0  172P/Yeung                                               MPC 54825
0173P         2008 05 16.3214  4.210958  0.260759   29.5754  100.5300   16.4950  20100723   7.5  4.0  173P/Mueller                                             MPC 54987
0174P         2015 04 19.5054  5.822254  0.457991  162.6801  173.3993    4.3415  20100723   9.5  2.0  174P/Echeclus                                            CCO    17
0176P         2011 07  2.3040  2.575417  0.193621   35.8638  346.5369    0.2377  20100723  15.0  2.0  176P/LINEAR                                              CCO    17
0180P         2008 05 26.8586  2.475731  0.356634   95.2281   84.7067   16.8929  20100723  11.0  4.0  180P/NEAT                                                MPC 62583
0183P         2008 05  6.3465  3.892708  0.134766  161.3149    5.8514   18.7373  20100723  12.5  2.0  183P/Korlevic-Juric                                      MPC 58540
0186P         2008 05 19.0970  4.301241  0.128233  285.7492  327.7561   28.7207  20100723   7.5  4.0  186P/Garradd                                             MPC 59045
0187P         2008 10 16.3839  3.702601  0.173403  133.5134  111.9313   13.6918  20100723   9.0  4.0  187P/LINEAR                                              MPC 62583
0195P         2009 01 20.4204  4.437673  0.314813  249.5616  243.2136   36.3667  20100723   8.5  4.0  195P/Hill                                                MPC 61438
0198P         2012 02 16.2426  1.994663  0.444646   69.2074  358.5419    1.3443  20100723  12.5  4.0  198P/ODAS                                                MPC 65937
0199P         2009 04  9.0944  2.932440  0.508377  191.8895   92.7702   24.7317  20100723  10.0  4.0  199P/Shoemaker                                           MPC 66205
0200P         2008 08 25.9440  3.273784  0.333643  133.8892  234.8060   12.1164  20100723   9.0  4.0  200P/Larsen                                              MPC 63139
0203P         2010 02  8.2563  3.182143  0.315344  154.5534  290.5661    2.9755  20100723  14.5  2.0  203P/Korlevic                                            MPC 63822
0213P         2011 06 16.1062  2.122895  0.379704    3.2793  312.6787   10.2392  20100723  10.5  4.0  213P/Van Ness                                            MPC 65058
0215P         2010 06  8.1105  3.213389  0.201226  222.4679   75.4387   12.7895  20100723  11.0  4.0  215P/NEAT                                                MPC 67148
0219P         2010 03  5.5533  2.364107  0.353065  107.7288  231.0301   11.5246  20100723  11.0  4.0  219P/LINEAR                                              MPC 65936
0223P         2010 08 14.5339  2.420071  0.416990   37.8512  346.8258   27.0556  20100723  12.0  4.0  223P/Skiff                                               MPC 66922
0227P         2010 09  3.7036  1.794798  0.499992   90.1359   49.8848    6.5247  20100723  16.5  2.0  227P/Catalina-LINEAR                                     MPC 67148
0228P         2011 08 24.3209  3.430319  0.176592  114.8630   31.0688    7.9156  20100723  14.5  2.0  228P/LINEAR                                              MPC 67414
0231P         2011 05 17.0230  3.032464  0.246301   42.5393  133.1011   12.3282  20100723  14.5  2.0  231P/LINEAR-NEAT                                         MPC 68393
0232P         2009 10  1.4767  2.983019  0.334859   53.4230   56.1330   14.6346  20100723  11.5  4.0  232P/Hill                                                MPC 67974
0234P         2009 12 23.3769  2.861043  0.250802  358.3096  179.7281   11.5157  20100723  12.0  4.0  234P/LINEAR                                              MPC 69418
0235P         2010 03 21.7827  2.748252  0.313613  333.7536  204.4847    8.8910  20100723  12.0  4.0  235P/LINEAR                                              MPC 69418
0236P         2010 09  8.8327  1.831338  0.509083  119.3384  245.6746   16.3317  20100723  14.0  4.0  236P/LINEAR                                              MPC 70363
0237P         2009 12  2.9361  2.415928  0.353362   20.7175  252.4043   16.1499  20100723  14.5  2.0  237P/LINEAR                                              MPC 70817
0238P         2011 03 11.2417  2.359854  0.253965  325.4906   51.6250    1.2662  20100723  14.5  4.0  238P/Read                                                MPC 71683
0240P         2010 10  4.2528  2.123852  0.450079  351.9169   74.9756   23.5222  20100723  12.0  4.0  240P/NEAT                                                MPC 71683
0241P         2010 07 18.3009  1.921410  0.610975  110.1566  305.9731   20.8851  20100723  13.5  4.0  241P/LINEAR                                              MPC 71684
0242P         2012 04 11.3842  3.872206  0.314163  250.5698  181.1248   32.1521  20100723   8.0  4.0  242P/Spahr                                               MPC 71684
0243P         2011 03  3.6051  2.455549  0.359370  283.9655   87.7481    7.6355  20100723  12.5  4.0  243P/NEAT                                                MPC 71684
0244P         2012 01 12.7577  3.924502  0.203380   91.4174  354.3145    2.2643  20100723   9.0  4.0  244P/Scotti                                              MPC 71684
0245P         2010 02  4.6437  2.139607  0.466517  316.4414  318.5283   21.0858  20100723  14.0  4.0  245P/WISE                                                MPC 72133
    CJ95O010  1997 03 31.4141  0.906507  0.994945  130.5321  282.6820   89.3193  20100723  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC 61436
    PJ96A010  2014 11 23.7118  4.075452  0.435556  223.8857  248.9071    6.6119  20100723   7.0  4.0  P/1996 A1 (Jedicke)                                      MPC 31893
    PJ96R020  2011 10 17.4060  2.612033  0.309710  334.0639   40.1917    2.6040  20100723  11.5  4.0  P/1996 R2 (Lagerkvist)                                   MPC 62882
    PJ97C010  2013 07 12.1112  3.597721  0.469422  211.3347  225.3811    2.8567  20100723   8.0  4.0  P/1997 C1 (Gehrels)                                      MPC 69910
    PJ97T030  2015 05  6.1558  4.240021  0.364251  333.5738   63.1472    4.8454  20100723  13.0  2.0  P/1997 T3 (Lagerkvist-Carsenty)                          MPC 35205
    PJ98U030  2014 03 16.5207  2.154872  0.647181  180.9016  303.4754   19.0646  20100723   6.5  4.0  P/1998 U3 (Jager)                                        MPC 34421
    PJ98V24S  2008 05 25.5719  3.422995  0.243056  244.5132  159.1690    5.0269  20100723  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 54169
    PJ99XC0N  2008 11 12.4264  3.303076  0.211402  161.5905  285.4250    5.0243  20100723  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 54170
    PK00G010  2010 11 13.9478  1.000097  0.672723  343.3036  190.9982   10.3900  20100723  19.5  2.0  P/2000 G1 (LINEAR)                                       MPC 59601
    PK01R060  2010 03 26.0978  2.178635  0.477453  308.4476   67.3203   17.3878  20100723  13.0  4.0  P/2001 R6 (LINEAR-Skiff)                                 MPC 59599
    CK02V94Q  2006 02  6.1579  6.794812  0.963819  100.0312   34.9914   70.6013  20100723   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC 59874
    PK03H15T  2013 03 17.8326  2.689395  0.417946  124.1896   81.4499   27.6430  20100723  14.0  2.0  P/2003 HT15 (LINEAR)                                     MPC 69909
    PK04A010  2004 09  2.8481  5.483644  0.310104   21.7429  124.9695   10.5528  20100723   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC 60921
    CK04B010  2006 02  7.6145  1.609002  1.001266  328.0706  272.9166  114.0759  20100723  10.5  2.0  C/2004 B1 (LINEAR)                                       MPC 57131
    PK04F030  2013 01 29.3993  2.875359  0.285386  176.4043   78.8111   15.9746  20100723   9.0  4.0  P/2004 F3 (NEAT)                                         MPC 69908
    PK04FE0Y  2015 07 16.2642  4.109041  0.167186  239.3515  327.1703    2.1265  20100723  12.5  2.0  P/2004 FY140 (LINEAR)                                    MPC 54823
    PK04H18C  2010 12 29.5920  1.714002  0.509221   30.9829  219.4867   23.4918  20100723  16.5  2.0  P/2004 HC18 (LINEAR)                                     MPC 59601
    PK04T010  2011 04 24.9550  1.707525  0.507947  336.4388   51.4490   11.0442  20100723  12.5  4.0  P/2004 T1 (LINEAR-NEAT)                                  MPC 62880
    CK05EH3L  2007 03  4.4402  3.890287  1.000800  261.4786  344.8128  130.6735  20100723  11.5  2.0  C/2005 EL173 (LONEOS)                                    MPC 61702
    PK05L010  2013 11 25.0124  3.151678  0.208557  150.0485  138.3012    7.7354  20100723   9.5  4.0  P/2005 L1 (McNaught)                                     MPC 69912
    CK05L030  2008 01 17.0837  5.594606  1.001284   47.2114  288.7737  139.4431  20100723   4.0  4.0  C/2005 L3 (McNaught)                                     MPC 59596
    PK05R25V  2006 11  4.6357  3.597792  0.167005  191.1418  246.8722    9.8904  20100723   9.5  4.0  P/2005 RV25 (LONEOS-Christensen)                         MPC 55978
    PK05S020  2006 07  2.8249  6.399703  0.198879  230.0868  161.1985    3.1412  20100723   7.5  4.0  P/2005 S2 (Skiff)                                        MPC 54987
    CK05S040  2007 07 20.3355  5.855862  0.999916   31.6205  318.2957  107.9573  20100723   5.0  4.0  C/2005 S4 (McNaught)                                     MPC 60464
    PK05SL6B  2007 02 10.9107  3.807875  0.463929   83.3329    1.6751   24.1192  20100723  12.0  2.0  P/2005 SB216 (LONEOS)                                    MPC 61994
    PK06F010  2008 02 18.2335  4.120892  0.118406  186.7382  124.7575   21.2752  20100723   8.0  4.0  P/2006 F1 (Kowalski)                                     MPC 60465
    CK06K040  2007 11 29.7611  3.189593  0.998856  233.6802  116.6184  111.3207  20100723   6.0  4.0  C/2006 K4 (NEAT)                                         MPC 62270
    CK06O02F  2008 09 15.8582  2.431287  1.001734   95.6342  318.5020   30.1610  20100723   5.5  4.0  C/2006 OF2 (Broughton)                                   MPC 62270
