359337|HI|Honolulu Observatory|locale|Honolulu|15|003|211910N|1580006W|21.31944|-158.00167||||||||Pearl Harbor
1847264|HI|Mauna Loa Observatory|locale|Hawaii|15|001|193221N|1553444W|19.53917|-155.57889||||||||Kokoolau
364372|HI|University of Hawaii Solar Observatory|locale|Honolulu|15|003|211815N|1573916W|21.30417|-157.65444||||||||Koko Head
1825159|IA|Luther College Observatory|locale|Winneshiek|19|191|432415N|0914708W|43.40417|-91.78556||||||||Burr Oak
462487|IA|University of Iowa Observatory|locale|Johnson|19|103|413051N|0913335W|41.51417|-91.55972||||||||Hills
1866878|IL|Dearborn Observatory|locale|Cook|17|031|420323N|0874032W|42.05639|-87.67556||||||||Evanston
1822537|IL|Mark Evans Observatory|locale|McLean|17|113|402930N|0885926W|40.49167|-88.99056||||||||Bloomington East
1807773|IL|Prairie Observatory|locale|Douglas|17|041|394206N|0880312W|39.70167|-88.05333||||||||Oakland
452327|IN|Goethe Link Observatory|locale|Morgan|18|109|393258N|0862343W|39.54944|-86.39528||||||||Mooresville West
603129|MA|Harvard Observatory|locale|Middlesex|25|017|422250N|0710743W|42.38056|-71.12861||||||||Lexington
604082|MA|Harvard University Observatory|locale|Worcester|25|027|423020N|0713329W|42.50556|-71.55806||||||||Ayer
605984|MA|John Hancock Observatory|locale|Suffolk|25|025|422107N|0710427W|42.35194|-71.07417||||||||Boston South
604179|MA|Loines Observatory|locale|Nantucket|25|019|411643N|0700643W|41.27861|-70.11194||||||||Nantucket
1912187|ME|Blueberry Pond Observatory|locale|Hancock|23|009|435420N|0700909W|43.90556|-70.1525||||||||North Pownal
1912655|ME|Little Diamond Island Observatory|locale|Cumberland|23|005|434000N|0701217W|43.66667|-70.20472||||||||Portland East
1913697|ME|Maynard F Jordan Planetarium and Observatory|locale|Penobscot|23|019|445355N|0684024W|44.89861|-68.67333||||||||Old Town
1912915|ME|Portland Observatory|locale|Cumberland|23|005|433955N|0701450W|43.66528|-70.24722||||||||Portland East
631992|MI|McMath-Hulbert Observatory|locale|Oakland|26|125|424151N|0831909W|42.6975|-83.31917||||||||Pontiac North
632215|MI|Michigan State University Observatory|locale|Ingham|26|065|424224N|0842901W|42.70667|-84.48361||||||||East Lansing
661095|MN|Darling Observatory|locale|St. Louis|27|137|464648N|0920644W|46.78|-92.11222||||||||Duluth
755328|MO|Morrison Observatory|locale|Howard|29|089|390906N|0924148W|39.15167|-92.69667||||||||Fayette
671808|MS|James Observatory|locale|Hinds|28|049|321929N|0901057W|32.32472|-90.1825||||||||Jackson
1892926|NE|Behlen Observatory|locale|Dodge|31|053|412612N|0962919W|41.43667|-96.48861||||||||Fremont East
1882574|NE|Boswell Observatory|locale|Saline|31|151|403721N|0965603W|40.6225|-96.93417||||||||Crete South
1884590|NE|Observatory|locale|Adams|31|001|403543N|0982208W|40.59528|-98.36889||||||||Hastings East
1916818|NH|Shattuck Observatory|locale|Grafton|33|009|434218N|0721710W|43.705|-72.28611||||||||Hanover
1915840|NH|Weston Observatory|locale|Hillsborough|33|011|430004N|0712622W|43.00111|-71.43944||||||||Manchester North
936624|NM|Apache Point Observatory|locale|Otero|35|035|324643N|1054848W|32.77861|-105.81333|||||9115|||Sacramento Peak
928889|NM|Capilla Peak Observatory|locale|Torrance|35|057|344152N|1062415W|34.69778|-106.40417||||||||Capilla Peak
935718|NM|Clyde W Tombaugh Observatory|locale|Doña Ana|35|013|321844N|1064640W|32.31222|-106.77778||||||||Las Cruces
933318|NM|National Radio Astronomy Observatory|locale|Socorro|35|053|340358N|1065422W|34.06611|-106.90611||||||||Socorro
