1902170	Frosty Drew Observatory	locale	RI		Washington		412251N	0713856W	41.38083	-71.64889					0	
1903747	Ladd Observatory	locale	RI		Providence		415022N	0712357W	41.83944	-71.39917					0	
1249225	Melton Observatory	locale	SC		Richland		335951N	0810136W	33.9975	-81.02667					0	
1249264	Old Observatory	locale	SC		Richland		335958N	0810141W	33.99944	-81.02806					0	
1320890	Cumberland Plateau Observatory	locale	TN		Van Buren		353556N	0853405W	35.59889	-85.56806					0	
1324809	Vanderbilt University Observatory	locale	TN		Davidson		360308N	0864818W	36.05222	-86.805					0	
1362428	McDonald Observatory	locale	TX		Jeff Davis		304017N	1040116W	30.67139	-104.02111					0	
1365945	Radio Astronomical Observatory	locale	TX		Wharton		290009N	0961524W	29.0025	-96.25667					0	
1491195	McCormick Observatory	locale	VA		Albemarle		380157N	0783120W	38.0325	-78.52222					0	
1690350	National Radio Astronomy Observatory	locale	VA		Albemarle		380212N	0783106W	38.03667	-78.51833					0	
1614066	Langs Observatory	locale	VI		St. Croix		174437N	0644111W	17.74361	-64.68639					0	
1514459	Goldendale Astronomical Observatory	locale	WA		Klickitat		455021N	1204850W	45.83917	-120.81389					640	
1533183	Newport Geophysical Observatory	locale	WA		Pend Oreille		481552N	1170721W	48.26444	-117.1225					0	
1843492	Buckstaff Observatory	locale	WI		Winnebago		440240N	0883214W	44.04444	-88.53722					0	
1581315	Pine Bluff Observatory	locale	WI		Dane		430439N	0894018W	43.0775	-89.67167					0	
1834194	Smith Observatory	locale	WI		Rock		423006N	0890156W	42.50167	-89.03222					0	
1842743	Washburn Observatory	locale	WI		Dane		430434N	0892432W	43.07611	-89.40889					0	
1581376	Yerkes Observatory	locale	WI		Walworth		423413N	0883322W	42.57028	-88.55611					0	
1553670	National Radio Astronomy Observatory	locale	WV		Pocahontas		382616N	0795011W	38.43778	-79.83639					939	
2042280	Mount Graham International Observatory	building	AZ		Graham		324210N	1095329W	32.70278	-109.89139					0	
1942772	Roinick Observatory	building	CT		Fairfield		411015N	0731947W	41.17083	-73.32972					0	
1998977	Admiral's House Naval Observatory	building	DC		District of Columbia		385522N	0770357W	38.92278	-77.06583					0	
2048561	Drake Observatory	building	IA		Polk		413544N	0934114W	41.59556	-93.68722					0	
1997283	Gale Observatory	building	IA		Poweshiek		414522N	0924310W	41.75611	-92.71944					0	
1995706	O'Donoghue Observatory	building	IA		Woodbury		422825N	0962131W	42.47361	-96.35861					0	
2001212	Observatory	building	IA		Dubuque		423020N	0904043W	42.50556	-90.67861					0	
1977444	Durfee Observatory	building	MA		Hampshire		422325N	0723122W	42.39028	-72.52278					0	
1974732	Maria Mitchell Observatory	building	MA		Nantucket		411650N	0700615W	41.28056	-70.10417					0	
1977831	Williston Observatory	building	MA		Hampshire		421521N	0723443W	42.25583	-72.57861					0	
2043465	United Astronomy Clubs of New Jersey Observatory	building	NJ		Warren		405424N	0745540W	40.90667	-74.92778					0	
1993593	National Radio Astronomy Observatory	building	VI		St. Croix		174533N	0643501W	17.75917	-64.58361					0	
1954412	David A Johnston Cascades Volcano Observatory	building	WA		Clark		453647N	1222944W	45.61306	-122.49556					0	
2013906	Morgan County Observatory	building	WV		Morgan		392849N	0781317W	39.48028	-78.22139					306	
