    PK01R010  2008 08  5.1638  1.345441  0.611636   24.9229   35.3128    7.0324  20071027  14.0  4.0  P/2001 R1 (LONEOS)
    PK01YC7X  2011 08 26.9569  3.428181  0.176353  115.1897   31.0663    7.9182  20071027  14.5  2.0  P/2001 YX127 (LINEAR)
    PK02CD4W  2009 01  5.9097  1.843409  0.488966  190.2674  348.2725   15.2132  20071027  13.0  4.0  P/2002 CW134 (LINEAR)
    CK02J050  2003 09 20.3767  5.738708  1.000318   75.0055  314.0860  117.2609  20071027  11.0  2.0  C/2002 J5 (LINEAR)
    CK02L090  2004 04  6.6608  7.034054  0.999559  231.4780  110.3918   68.4494  20071027   8.5  2.0  C/2002 L9 (NEAT)
    PK02L11Z  2010 03  6.9265  2.365064  0.352263  107.8532  231.1030   11.5227  20071027  11.0  4.0  P/2002 LZ11 (LINEAR)
    PK02O080  2010 06  7.0954  3.217790  0.200503  222.1202   75.4611   12.7890  20071027  11.0  4.0  P/2002 O8 (NEAT)
    CK02T070  2004 04 22.3686  0.618794  1.000454  158.0842   95.1454  160.5268  20071027   4.0  4.0  C/2002 T7 (LINEAR)
    CK02V94Q  2006 02  6.9599  6.797678  0.965166  100.0772   35.0076   70.5233  20071027   9.5  2.0  C/2002 VQ94 (LINEAR)
    CK03A020  2003 11  8.9123 11.431214  1.001469  346.8106  154.5655    8.0693  20071027   3.5  4.0  C/2003 A2 (Gleason)
    PK03C07P  2011 05 18.0814  3.026316  0.246810   42.8064  133.1125   12.3304  20071027  14.5  2.0  P/2003 CP7 (LINEAR-NEAT)
    PK03K02V  2008 05 18.2471  1.060517  0.629913  188.7844   66.3929   25.5532  20071027  16.5  2.0  P/2003 KV2 (LINEAR)
    CK03K040  2004 10 14.0421  1.023302  1.000681  198.4827   18.7031  134.2026  20071027   3.5  4.0  C/2003 K4 (LINEAR)
    PK03Q29X  2002 10 27.6162  4.233408  0.472715   37.2692  264.5146   11.4066  20071027   8.5  4.0  P/2003 QX29 (NEAT)
    CK03T040  2005 04  3.6829  0.851298  1.000536  181.6896   93.8697   86.7980  20071027   6.0  4.0  C/2003 T4 (LINEAR)
    CK03W42T  2006 04 10.7685  5.191530  1.001204   92.4906   48.4447   31.4141  20071027   9.0  2.0  C/2003 WT42 (LINEAR)
    PK04A010  2004 09  7.5806  5.483319  0.311536   21.9577  124.9813   10.5507  20071027   6.5  4.0  P/2004 A1 (LONEOS)
    CK04B010  2006 02  7.7711  1.602672  1.000963  327.9052  272.8064  114.1023  20071027  10.5  2.0  C/2004 B1 (LINEAR)
    CK04D010  2006 02 10.8235  4.975594  1.000141   75.5658   62.2509   45.5393  20071027  11.5  2.0  C/2004 D1 (NEAT)
    PK04D29O  2004 10  3.7961  4.091802  0.442724   41.2283  147.5101   14.4908  20071027  13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)
    PK04F030  2005 01  5.1475  2.867133  0.286637  176.3565   78.8185   15.9873  20071027   9.0  4.0  P/2004 F3 (NEAT)
    PK04FE0Y  2004 08  5.1375  4.108776  0.167442  239.7453  327.1850    2.1270  20071027  12.5  2.0  P/2004 FY140 (LINEAR)
    CK04K010  2005 07  5.2535  3.399302  0.998764   97.8052  326.9769  153.7476  20071027   7.0  4.0  C/2004 K1 (Catalina)
    CK04L020  2005 11 15.2849  3.778491  0.996025  257.3303   99.1658   62.5275  20071027   7.0  4.0  C/2004 L2 (LINEAR)
    CK04Q020  2005 01 23.9097  1.205150  0.998278   19.5460   93.4637   38.7253  20071027   5.5  4.0  C/2004 Q2 (Machholz)
    CK04T030  2003 04 17.3896  8.865640  1.001734  259.7444   50.3477   71.9640  20071027   2.5  4.0  C/2004 T3 (Siding Spring)
    PK04V050  2005 03  3.7831  4.422720  0.445921   88.1748   47.8555   19.3490  20071027   8.0  4.0  P/2004 V5 (LINEAR-Hill)
    CK05B010  2006 02 23.6116  3.204756  1.000780  103.1851  195.5593   92.5336  20071027   6.5  4.0  C/2005 B1 (Christensen)
    CK05E020  2006 02 23.5517  1.518235  1.000130   39.9543  347.8248   17.0006  20071027   5.5  4.0  C/2005 E2 (McNaught)
    CK05EH3L  2007 03  5.8272  3.886247  1.003317  261.4917  344.8049  130.6784  20071027  11.5  2.0  C/2005 EL173 (LONEOS)
    CK05G010  2006 02 27.6656  4.960733  1.000774  113.8459  299.5790  108.4244  20071027   8.0  4.0  C/2005 G1 (LINEAR)
    PK05JA8D  2005 08 11.2908  4.029657  0.375557   90.4236  224.3006    3.2752  20071027  10.0  4.0  P/2005 JD108 (Catalina-NEAT)
    PK05JC6Y  2006 02 21.4646  2.125675  0.433804  117.6120  207.9758   20.2325  20071027  11.5  4.0  P/2005 JY126 (Catalina)
    CK05K010  2005 11 21.0700  3.694126  1.002200  134.9610  106.3070   77.7580  20071027   7.0  4.0  C/2005 K1 (Skiff)
