    CK07W010  2008 06 27.7873  0.831518  0.999408  306.5651  334.2280    9.9110  20190514   9.5  4.0  C/2007 W1 (Boattini)                                     MPC 63599
    CK07W030  2008 06  1.3662  1.781836  0.999568  112.6839   72.6833   78.6158  20190514  12.0  4.0  C/2007 W3 (LINEAR)                                       MPC 63376
    CK07Y010  2008 03 19.8891  3.354126  0.999704  357.2656  133.1980  110.0233  20190514  10.5  4.0  C/2007 Y1 (LINEAR)                                       MPC 62271
    CK07Y020  2008 04 10.0032  4.201916  0.995448  257.6900  303.3476   98.3385  20190514   9.0  4.0  C/2007 Y2 (McNaught)                                     MPC 62271
    CK08A010  2008 09 28.9509  1.068356  0.999771  348.3741  277.6227   82.9688  20190514   6.5  4.0  C/2008 A1 (McNaught)                                     MPC 65935
    CK08C010  2008 04 15.2865  1.276062  0.999737  181.0201  307.8721   61.5127  20190514  10.0  4.0  C/2008 C1 (Chen-Gao)                                     MPC 62582
    PK08C94L  2021 09 27.1640  5.416809  0.120004   80.9500   33.3526    8.3517  20190514   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC 75708
    CK08E010  2008 08  2.9625  4.880225  0.548475  270.6583  188.8609   34.8348  20190514   7.0  4.0  C/2008 E1 (Catalina)                                     MPC112389
    CK08E030  2008 07 30.2741  5.536921  0.995952  218.0699  105.6445  105.2661  20190514   6.0  4.0  C/2008 E3 (Garradd)                                      MPC 68392
    CK08F75K  2010 10  2.4908  4.495879  1.001214   80.3594  218.2692   61.2742  20190514   5.0  4.0  C/2008 FK75 (Lemmon-Siding Spring)                       MPC 88324
    CK08G010  2009 01 15.4049  3.980591  0.986551   63.6788  215.9131   73.0325  20190514   9.5  4.0  C/2008 G1 (Gibbs)                                        MPC 82314
    CK08H010  2008 03 10.4069  2.781495  0.945034   96.1621   34.4772   75.3993  20190514  10.5  4.0  C/2008 H1 (LINEAR)                                       MPC 63137
    CK08J010  2008 07 12.4209  1.717740  0.989093   67.9269  273.6867   62.0224  20190514  10.0  4.0  C/2008 J1 (Boattini)                                     MPC 65054
