MPCORB extract of the first 5000 numbered asteroids.
For use with Cartes du Ciel / Skychart software. 
 
MINOR PLANET CENTER ORBIT DATABASE (MPCORB)   File prepared 2012 Mar. 3

This file contains published orbital elements for all numbered and unnumbered
multi-opposition minor planets for which it is possible to make reasonable
predictions.  It also includes published elements for recent one-opposition
minor planets and is intended to be complete through the last issued Daily
Orbit Update MPEC.  As such it is intended to be of interest primarily
to astrometric observers.

   Software programs may include this datafile amongst their datasets, as
   long as this header is included (it is acceptable if it is contained
   in a file separate from the actual data) and that proper attribution
   to the Minor Planet Center is given.  Credit to the individual orbit
   computers is implicit by the inclusion of a reference and the name of
   the orbit computer on each orbit record.  Information on how to obtain
   updated copies of the datafile must also be included.

   The work of the individual astrometric observers, without whom none of
   the work of the Minor Planet Center would be possible, is gratefully
   acknowledged.  Credit to the individual observers is implicit by the
   inclusion of the reference to the publication of their observations in
   all data sets distributed by the Minor Planet Center.

New versions of this file, updated on a daily basis, will be available at:

          http://www.minorplanetcenter.org/iau/MPCORB/MPCORB.DAT

The elements contained within MPCORB are divided into three sections,
separated by blank lines.  The first section contains the numbered objects,
the second section contains the unnumbered objects with perturbed orbit
solutions and the third contains the recent 1-opposition objects with
unperturbed orbit solutions.  Each object's elements are stored on a single
line, the format of which is described at:

          http://www.minorplanetcenter.org/iau/info/MPOrbitFormat.html

A brief header is given below:

Des'n     H     G   Epoch     M        Peri.      Node       Incl.       e            n           a        Reference #Obs #Opp    Arc    rms  Perts   Computer

----------------------------------------------------------------------------------------------------------------------------------------------------------------
00030    7.57  0.15 K123E  45.35293   86.72223  307.65313    2.09793  0.1274493  0.27093523   2.3653336  0 E2012-E20  1513  67 1860-2012 0.59 M-v 38h MPCLINUX   0000     (30) Urania             20120224
00031    6.74  0.15 K123E 350.11713   61.23866   31.15567   26.31822  0.2227184  0.17590644   3.1546286  0 MPO219503  1185  51 1860-2012 0.58 M-v 38h MPCLINUX   0000     (31) Euphrosyne         20120204
00032    7.56  0.15 K123E 137.31791  338.57380  220.54237    5.52988  0.0824105  0.23697538   2.5862305  0 MPO213833  1151  63 1864-2011 0.63 M-v 38h MPCLINUX   0000     (32) Pomona             20111123
00033    8.55  0.33 K123E 175.24936  338.14805    8.59380    1.87038  0.3374924  0.20310302   2.8663230  0 E2012-E20  1251  58 1856-2012 0.65 M-v 38h MPCLINUX   0000     (33) Polyhymnia         20120301
00034    8.51  0.15 K123E 266.15143  329.66947  184.49591    5.49997  0.1053993  0.22340572   2.6899231  0 MPO219503  1594  59 1864-2012 0.54 M-v 38h MPCLINUX   0000     (34) Circe              20120121
00035    8.5   0.15 K123E  79.75064  213.71150  353.79111    7.93467  0.2272100  0.19055234   2.9908400  0 MPO216418  1419  52 1860-2011 0.57 M-v 38h MPCLINUX   0000     (35) Leukothea          20110828
00036    8.46  0.15 K123E  98.64997   46.86664  358.45357   18.43362  0.3027425  0.21633879   2.7481881  0 E2012-E20   835  39 1866-2012 0.56 M-v 38h MPCLINUX   0000     (36) Atalante           20120301
00037    7.29  0.24 K123E 105.32591   62.67694    7.33240    3.07332  0.1736741  0.22934135   2.6433082  0 MPO216418  1599  71 1855-2011 0.63 M-v 38h MPCLINUX   0000     (37) Fides              20111230
00038    8.32  0.15 K123E 159.20304  169.75732  295.76090    6.97293  0.1545447  0.21731816   2.7399252  0 MPO210328  1183  49 1904-2011 0.50 M-v 38h MPCLINUX   0000     (38) Leda               20110905
00039    6.0   0.15 K123E 106.02178  208.41198  157.13461   10.38262  0.1147300  0.21412411   2.7671052  0 E2012-E20  4858  82 1856-2012 0.58 M-v 38h MPCLINUX   0000     (39) Laetitia           20120229
00040    7.0   0.15 K123E  77.44494  269.15774   94.24149    4.25748  0.0472579  0.28870339   2.2672607  0 E2012-E20  4176  61 1864-2012 0.53 M-v 38h MPCLINUX   0000     (40) Harmonia           20120224
00041    7.12  0.10 K123E 295.36550   46.09216  178.09753   15.79250  0.2747869  0.21490541   2.7603945  0 E2012-E20  1329  57 1866-2012 0.62 M-v 38h MPCLINUX   0000     (41) Daphne             20120218
00042    7.53  0.15 K123E 252.89721  236.53475   84.36059    8.52647  0.2226330  0.25824366   2.4422096  0 MPO216418  1665  66 1856-2012 0.54 M-v 38h MPCLINUX   0000     (42) Isis               20120103
00043    7.93  0.11 K123E  74.69827   15.98685  264.89961    3.46709  0.1674427  0.30130381   2.2036010  0 MPO219503  1306  65 1864-2011 0.64 M-v 38h MPCLINUX   0000     (43) Ariadne            20111117
00044    7.03  0.46 K123E 123.25315  343.46996  131.56545    3.70558  0.1480066  0.26118641   2.4238310  0 MPO213833  1892  69 1864-2011 0.56 M-v 38h MPCLINUX   0000     (44) Nysa               20110619
00045    7.46  0.07 K123E 187.52218   87.84978  147.75754    6.59912  0.0818345  0.21928256   2.7235373  0 E2012-E20  1836  64 1866-2012 0.53 M-v 38h MPCLINUX   0000     (45) Eugenia            20120223
00046    8.36  0.06 K123E 152.50167  176.55294  181.14206    2.34470  0.1725130  0.24566851   2.5248547  0 E2012-E20  1913  67 1864-2012 0.56 M-v 38h MPCLINUX   0000     (46) Hestia             20120229
00047    7.84  0.16 K123E 249.01510  313.99629    3.14866    4.98347  0.1335461  0.20162516   2.8803122  0 MPO219503  1124  66 1860-2012 0.62 M-v 38h MPCLINUX   0000     (47) Aglaja             20120130
00048    6.90  0.15 K123E 320.31847  255.07645  183.73299    6.55255  0.0752416  0.17937816   3.1137925  0 E2012-E20  1529  76 1860-2012 0.62 M-v 38h MPCLINUX   0000     (48) Doris              20120212
00049    7.8   0.15 K123E 131.93609  110.06395  286.03791    3.17323  0.2282548  0.18122468   3.0926052  0 E2012-E20  1253  64 1863-2012 0.64 M-v 38h MPCLINUX   0000     (49) Pales              20120224
00050    9.24  0.15 K123E 284.19463  200.29129  173.61781    2.83329  0.2839741  0.22826457   2.6516144  0 MPO213833  1594  50 1857-2011 0.58 M-v 38h MPCLINUX   0000     (50) Virginia           20110728
00051    7.35  0.08 K123E 111.67042    2.56380  176.08946    9.97791  0.0678992  0.27098277   2.3650569  0 MPO213833  4111  74 1863-2011 0.60 M-v 38h MPCLINUX   0000     (51) Nemausa            20110702
00052    6.31  0.18 K123E 126.18515  343.98761  128.73361    7.48036  0.1069623  0.18081785   3.0972423  0 MPO213833  2039  72 1860-2011 0.54 M-v 38h MPCLINUX   0000     (52) Europa             20110704
00053    8.81  0.15 K123E 178.77535  313.50357  143.57466    5.16897  0.2057233  0.23274429   2.6174800  0 MPO213833  1208  56 1869-2011 0.60 M-v 38h MPCLINUX   0000     (53) Kalypso            20110605
00054    7.66  0.15 K123E 163.36652  345.47973  313.34671   11.80176  0.1981071  0.22099088   2.7094833  0 E2012-E20  1086  53 1863-2012 0.54 M-v 38h MPCLINUX   0000     (54) Alexandra          20120218
00055    7.7   0.15 K123E 164.08539    3.80160   10.45674    7.18739  0.1430560  0.21494126   2.7600876  0 E2012-E20  1416  58 1863-2012 0.53 M-v 38h MPCLINUX   0000     (55) Pandora            20120301
00056    8.31  0.15 K123E 355.49729  103.64080  193.42461    8.07019  0.2369908  0.23561854   2.5961498  0 MPO216418  1249  48 1865-2011 0.64 M-v 38h MPCLINUX   0000     (56) Melete             20110701
00057    7.03  0.15 K123E  44.81782  210.94237  199.22839   15.22101  0.1154901  0.17630186   3.1499099  0 E2012-E20  1389  74 1859-2012 0.59 M-v 38h MPCLINUX   0000     (57) Mnemosyne          20120229
00058    8.86  0.15 K123E  79.80703   31.87070  161.17902    5.06036  0.0446330  0.22217719   2.6998299  0 MPO216418  1256  55 1864-2011 0.64 M-v 38h MPCLINUX   0000     (58) Concordia          20110626
00059    7.93  0.15 K123E 304.75120  211.88581  170.14673    8.63410  0.1174369  0.22061472   2.7125623  0 MPO 50329   896  80 1860-2003 0.56 M-v 38h Goffin     0000     (59) Elpis              20030601
00060    8.21  0.27 K123E 236.27296  271.06670  191.64267    3.60188  0.1839060  0.26639838   2.3921128  0 MPO213833  1236  53 1861-2011 0.58 M-v 38h MPCLINUX   0000     (60) Echo               20110814
00061    7.68  0.15 K123E 133.95380   13.05605  333.74952   18.21846  0.1681296  0.19152711   2.9806836  0 E2012-E20   844  49 1865-2012 0.68 M-v 38h MPCLINUX   0000     (61) Danae              20120210
00062    8.76  0.15 K123E 139.71694  273.88265  125.58480    2.22965  0.1719641  0.17817392   3.1278071  0 E2012-E20  1347  59 1910-2012 0.61 M-v 38h MPCLINUX   0000     (62) Erato              20120301
00063    7.55  0.25 K123E 167.80555  296.23901  337.79443    5.77910  0.1270456  0.26586213   2.3953284  0 E2012-E20  1658  60 1861-2012 0.56 M-v 38h MPCLINUX   0000     (63) Ausonia            20120205
00064    7.67  0.48 K123E 174.54882  179.29919  309.17198    1.31001  0.1264439  0.22454614   2.6808077  0 MPO219503  1366  66 1861-2011 0.63 M-v 38h MPCLINUX   0000     (64) Angelina           20110902
00065    6.62  0.01 K123E 217.12215  102.67643  155.65177    3.56288  0.1098152  0.15545639   3.4255502  0 MPO219503  1761  78 1861-2012 0.55 M-v 38h MPCLINUX   0000     (65) Cybele             20120119
00066    9.36  0.15 K123E 144.20566   43.73632    7.56965    3.04717  0.1707679  0.22882193   2.6473069  0 E2012-E20  1330  53 1861-2012 0.56 M-v 38h MPCLINUX   0000     (66) Maja               20120216
